"Cycle","Domain","Component","Official_source","Local_cache_filename","Source_SHA","Role"
"2015_2016","Questionnaire","BPQ_I","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/BPQ_I.XPT","2015_2016/BPQ_I.xpt","7F7E51CD0497EB648F64EAAFAF7ED07825D617C32B2CD6853ED249FCE1143A38","hypertension,hyperlipidemia"
"2015_2016","Questionnaire","DIQ_I","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/DIQ_I.XPT","2015_2016/DIQ_I.xpt","E87587479B29F175B63EEE5DD40D582837E3E3FE2665503012085EEFDB978E0D","diabetes"
"2015_2016","Questionnaire","SMQ_I","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/SMQ_I.XPT","2015_2016/SMQ_I.xpt","529CE1C407E99DCE937CA75D14C8C630E0C9C30A4A9A851760CD2884BBB28FE0","smoking"
"2015_2016","Questionnaire","ALQ_I","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/ALQ_I.XPT","2015_2016/ALQ_I.xpt","ED445C40EC3F3F993F78321F86E513340D4F131708C7624D88803BDE3909102D","alcohol"
"2015_2016","Examination","BMX_I","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/BMX_I.XPT","2015_2016/BMX_I.xpt","D31DA84E14212B4E58E8340598A5B8E2144FAC83333563E966EB1B332E4141D6","BMI"
"2015_2016","Laboratory","PHTHTE_I","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/PHTHTE_I.XPT","2015_2016/PHTHTE_I.xpt","9934F4BEFB8519DACEB36358A10A6052B24B3452D85E55A47524544054F987E4","phthalate metabolites,subsample weight,creatinine through 2013_2014"
"2015_2016","Laboratory","ALB_CR_I","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2015/DataFiles/ALB_CR_I.XPT","2015_2016/ALB_CR_I.xpt","AF61C16DB8D9E96549BF0FB446049FF0631AE1CCF7E2DCD017D28EDBA84DBE3D","urinary creatinine source"
"2017_2018","Demographics","DEMO_J","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DEMO_J.XPT","2017_2018/DEMO_J.xpt","C0B46E0345EA19404928656277C8B0D10B0CCA348A9B2FE4FC3C67E8B7EE73EC","sampling,demographics,pregnancy,design"
"2017_2018","Questionnaire","MCQ_J","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/MCQ_J.XPT","2017_2018/MCQ_J.xpt","79C50C805A377FCD61D44FAE8B86A16AF0A5741F8B1AEEBDA918D7D743C68F98","stroke outcome"
"2017_2018","Questionnaire","BPQ_J","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BPQ_J.XPT","2017_2018/BPQ_J.xpt","63CFE1C331A1E7D3534328AC86312A21FFEE3E01AA189BC1F74D06855239E5AA","hypertension,hyperlipidemia"
"2017_2018","Questionnaire","DIQ_J","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/DIQ_J.XPT","2017_2018/DIQ_J.xpt","1ECBF5360DFC331D1EFBF32198553DC30E9A1F4CFF0A907ED30CA72BAC797F89","diabetes"
"2017_2018","Questionnaire","SMQ_J","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/SMQ_J.XPT","2017_2018/SMQ_J.xpt","73C3708E540CBF520A566508AA629C3E4BA53CAD77DAE9388CA36384646455F4","smoking"
"2017_2018","Questionnaire","ALQ_J","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/ALQ_J.XPT","2017_2018/ALQ_J.xpt","53006D407764AD16491F823D25F2781BA55363AEE9CB304D3F5D9450CF25D5C1","alcohol"
"2017_2018","Examination","BMX_J","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/BMX_J.XPT","2017_2018/BMX_J.xpt","8D675E42D8826AC98714B2C3DD4C5138A5E353FB4424F7EFF5E6DB4A01CE838A","BMI"
"2017_2018","Laboratory","PHTHTE_J","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/PHTHTE_J.XPT","2017_2018/PHTHTE_J.xpt","89E55B4459086E41E815228B18C144A8046BF9E2391137C3602CCE92DFD3B67D","phthalate metabolites,subsample weight,creatinine through 2013_2014"
"2017_2018","Laboratory","ALB_CR_J","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2017/DataFiles/ALB_CR_J.XPT","2017_2018/ALB_CR_J.xpt","0017A7B8D87D29009923E22300B4EC393B06C9BBF6147EB6B2D777ACA605BCBF","urinary creatinine source"
