variable,group,group_n,positive_n,nonmissing_n,missing_n,prevalence,SMD
hypertension,analytic,9129,3591,9129,0,0.39336181399934295,0.0652922723140818
hypertension,excluded_creatinine_unavailable,23403,8438,23327,76,0.36172675440476704,0.0652922723140818
diabetes,analytic,9129,1317,9129,0,0.144265527440026,0.0573882342575356
diabetes,excluded_creatinine_unavailable,23403,2858,22920,483,0.124694589877836,0.0573882342575356
hyperlipidemia,analytic,9129,3524,9129,0,0.386022565450761,0.0203577400988597
hyperlipidemia,excluded_creatinine_unavailable,23403,7461,18843,4560,0.395956057952555,0.0203577400988597
smoking,analytic,9129,4141,9129,0,0.45360937671157797,0.01591607228307
smoking,excluded_creatinine_unavailable,23403,10794,23387,16,0.461538461538462,0.01591607228307
